16:13:01.992 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
16:53:12.077 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
16:53:12.152 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Values Expected Value:Sample Option 1 Actual Value: Sample Option 1
16:53:13.266 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Question Expected Value:Choose a number? Actual Value: Choose a number?
16:53:13.336 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
16:53:14.406 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Question Expected Value:Select a range Actual Value: Select a range
16:53:14.465 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Answer Expected Value:50 Actual Value: Rs51/-
16:53:15.534 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: How was your experience?
16:53:15.601 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:5 Actual Value: Bad
16:53:16.682 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Select a date Actual Value: Choose a number?
16:53:16.743 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:27/09/2023 Actual Value: 5
16:53:17.842 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Upload file Actual Value: Select a date
16:53:17.932 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:D:\\NewFile.txt Actual Value: 27/09/2023
17:02:13.171 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
17:02:13.202 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
17:02:13.924 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
17:02:13.997 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
17:02:13.998 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
17:02:15.565 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
17:02:15.565 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
17:02:19.196 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
17:02:19.286 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
17:02:34.299 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
17:02:37.745 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
17:02:38.381 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
17:02:41.388 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
17:02:41.501 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
17:02:42.520 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:02:42.638 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
17:02:43.647 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:02:43.786 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
17:02:44.092 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
17:02:44.186 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
17:02:44.241 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
17:02:47.359 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
17:02:47.360 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
17:02:49.132 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
17:02:50.239 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
17:02:50.306 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
17:02:51.409 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
17:02:51.499 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
17:02:52.616 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
17:02:52.716 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
17:02:53.826 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
17:02:53.896 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
17:02:55.064 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
17:02:55.224 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
17:02:56.471 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
17:02:56.536 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
17:02:57.640 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
17:02:57.720 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Values Expected Value:Sample Option 1 Actual Value: Sample Option 1
17:02:58.831 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:02:58.901 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
17:03:00.007 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Question Expected Value:Select a range Actual Value: Select a range
17:03:00.077 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Answer Expected Value:50 Actual Value: Rs51/-
17:03:01.173 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: How was your experience?
17:03:01.263 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:5 Actual Value: Bad
17:03:02.363 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Question Expected Value:Select a date Actual Value: Choose a number?
17:03:02.433 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Answer Expected Value:27/09/2023 Actual Value: 5
17:03:03.547 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Question Expected Value:Upload file Actual Value: Select a date
17:03:03.617 [main] INFO  testCases.TC_004_SF_ResponseValidation - File UploadControl Answer Expected Value:D:\\NewFile.txt Actual Value: 27/09/2023
17:14:00.367 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
17:14:00.393 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
17:14:01.115 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
17:14:01.184 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
17:14:01.184 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
17:14:02.752 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
17:14:02.752 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
17:14:07.862 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
17:14:07.952 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
17:14:22.957 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
17:14:25.272 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
17:14:25.932 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
17:14:28.941 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
17:14:28.987 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
17:14:29.990 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:14:30.092 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
17:14:31.103 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:14:31.193 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
17:14:31.482 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
17:14:31.580 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
17:14:31.633 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
17:14:34.738 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
17:14:34.738 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
17:14:36.921 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
17:14:38.053 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
17:14:38.120 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
17:14:39.186 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
17:14:39.246 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
17:14:40.357 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
17:14:40.432 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
17:14:41.524 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
17:14:41.584 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
17:14:42.729 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
17:14:42.799 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
17:14:43.896 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
17:14:43.966 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
17:14:45.073 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
17:14:45.138 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Values Expected Value:Sample Option 1 Actual Value: Sample Option 1
17:14:46.241 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:14:46.321 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
17:14:47.422 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Question Expected Value:Select a range Actual Value: Select a range
17:14:47.497 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Answer Expected Value:50 Actual Value: Rs51/-
17:14:48.600 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Question Expected Value:How was your experience? Actual Value: How was your experience?
17:14:48.675 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Answer Expected Value:Bad Actual Value: Bad
17:14:49.776 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:14:49.861 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:5 Actual Value: 5
17:14:50.963 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Question Expected Value:Select a date Actual Value: Select a date
17:14:51.038 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Answer Expected Value:27/09/2023 Actual Value: 27/09/2023
17:18:29.960 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
17:18:29.991 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
17:18:30.705 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
17:18:30.788 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
17:18:30.788 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
17:18:32.225 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
17:18:32.226 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
17:18:35.192 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
17:18:35.281 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
17:18:50.289 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
17:18:53.432 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
17:18:54.159 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
17:18:57.174 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
17:18:57.308 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
17:18:58.320 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:18:58.441 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
17:18:59.457 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:18:59.600 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
17:18:59.861 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
17:18:59.944 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
17:18:59.997 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
17:19:03.108 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
17:19:03.108 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
17:19:05.271 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
17:19:06.383 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
17:19:06.440 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
17:19:07.534 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
17:19:07.595 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
17:19:08.704 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
17:19:08.789 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
17:19:09.892 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
17:19:09.972 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
17:19:11.116 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
17:19:11.201 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
17:19:12.330 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
17:19:12.440 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
17:19:13.550 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
17:19:13.610 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Values Expected Value:Sample Option 1 Actual Value: Sample Option 1
17:19:14.708 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:19:14.783 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
17:19:15.882 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Question Expected Value:Select a range Actual Value: Select a range
17:19:15.947 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Answer Expected Value:50 Actual Value: Rs51/-
17:19:17.054 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Question Expected Value:How was your experience? Actual Value: How was your experience?
17:19:17.115 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Answer Expected Value:Bad Actual Value: Bad
